Id,Company,Active users,Active users time period,Daily tokens,Daily messages,Date,Report date,Source 1,Source 2,Graph note,Notes,Source type,Product,Confidence,Exclude from graph view
ChatGPT 50M WAU,OpenAI,50000000,Weekly,,,3/25/2023,9/14/2025,https://cdn.openai.com/pdf/a253471f-8260-40c6-a2cc-aa93fe9f142e/economic-research-chatgpt-usage-paper.pdf,https://www.nber.org/papers/w34255,,"From Figure 3, weekly active ChatGPT users on consumer plans (Free, Plus, Pro). Number extracted using plotdigitizer and rounded to the nearest 5M.",Company disclosure,ChatGPT,Likely,
ChatGPT 80M WAU,OpenAI,80000000,Weekly,,,9/20/2023,9/14/2025,https://cdn.openai.com/pdf/a253471f-8260-40c6-a2cc-aa93fe9f142e/economic-research-chatgpt-usage-paper.pdf,https://www.nber.org/papers/w34255,,"From Figure 3, weekly active ChatGPT users on consumer plans (Free, Plus, Pro). Number extracted using plotdigitizer and rounded to the nearest 5M.",Company disclosure,ChatGPT,Likely,
100B words per day,OpenAI,,,1.33E+11,,2/9/2024,2/9/2024,https://x.com/sama/status/1756089361609981993,,,"Tweet from Sam Altman: ""openai now generates about 100 billion words per day. all people on earth generate about 100 trillion words per day.""",Company disclosure,All products,Confident,
ChatGPT 125M WAU,OpenAI,125000000,Weekly,,,3/20/2024,9/14/2025,https://cdn.openai.com/pdf/a253471f-8260-40c6-a2cc-aa93fe9f142e/economic-research-chatgpt-usage-paper.pdf,https://www.nber.org/papers/w34255,,"From Figure 3, weekly active ChatGPT users on consumer plans (Free, Plus, Pro). Number extracted using plotdigitizer and rounded to the nearest 5M.",Company disclosure,ChatGPT,Likely,
100M MAU,OpenAI,100000000,Monthly,,,3/30/2024,9/27/2024,https://www.nytimes.com/2024/09/27/technology/openai-chatgpt-investors-funding.html,,All products,"""about 350 million people — up from around 100 million in March — used its services each month as of June.""

likely primarily ChatGPT. May be substantially rounded down (given rapid growth in a few months, and OpenAI later claimed 125M *weekly* actives at the same time)",Media report,All products,Uncertain,
Google 9.7T monthly tokens,Google,,,3.23E+11,,4/15/2024,5/20/2025,https://x.com/Google/status/1924874729091170423,https://www.interconnects.ai/p/people-use-ai-more-than-you-think,,"April 2024 - Source 2 links to Google I/O keynote video (https://www.youtube.com/live/o8NiE3XMPrM?t=394s)

9.7T / 30 days/month = 323B",Company disclosure,Google (all AI products),Confident,
ChatGPT 451M messages,OpenAI,,,,451000000,6/24/2024,9/14/2025,https://cdn.openai.com/pdf/a253471f-8260-40c6-a2cc-aa93fe9f142e/economic-research-chatgpt-usage-paper.pdf,https://www.nber.org/papers/w34255,,"Table 1: shows daily average of 451M ChatGPT messages from all consumer plans for the week ending June 24, 2025. 

This count excludes ""users who opt-out of sharing their messages for model training, users who selfreport their age as under 18, logged-out users, deleted conversations, and accounts which have been deactivated
or banned (details available in Section 3)""",Company disclosure,ChatGPT,Confident,
350M MAU,OpenAI,350000000,Monthly,,,6/30/2024,9/27/2024,https://www.nytimes.com/2024/09/27/technology/openai-chatgpt-investors-funding.html,,All products,"""about 350 million people — up from around 100 million in March — used its services each month as of June.""

likely primarily ChatGPT",Media report,All products,Likely,
ChatGPT 240M WAU,OpenAI,240000000,Weekly,,,9/15/2024,9/14/2025,https://www.nber.org/papers/w34255,,,"From Figure 3, weekly active ChatGPT users on consumer plans (Free, Plus, Pro). Number extracted using plotdigitizer and rounded to the nearest 5M.",Company disclosure,ChatGPT,Likely,
Meta AI 400M MAU,Meta,400000000,Monthly,,,9/25/2024,9/25/2024,https://about.fb.com/news/2024/09/metas-ai-product-news-connect/,,,"""More than 400 million people are using Meta AI monthly, with 185 million people using it across our products each week.""",Company disclosure,Meta AI assistant,Confident,
